num,id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,collection day 1,collection month 1,collection year 1,collection day 2,collection month 2,collection year 2,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
1,urn:lsid:ipni.org:names:499409-1,,Tsai & Yu,Indigofera gracillima,Leguminosae,,Indigofera,,gracillima,,false,false,spec.,Bull. Fan Mem. Inst. Biol. Bot. 7: 29. 1936,1936,Tsai & Yu,urn:lsid:ipni.org:publications:8560-2,"Yu@0-0@2@aut, Tsai@0-0@1@aut",,China (Yunnan),,Bull. Fan Mem. Inst. Biol. Bot.,,,unknown,7:29,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499410-1,,Steud.,Indigofera grahamiana,Leguminosae,,Indigofera,,grahamiana,,false,false,spec.,"Nomencl. Bot.  [Steudel], ed. 2. 1: 807. 1840",1840,Steud.,urn:lsid:ipni.org:publications:1534-2,Steud.@10122-1@1@aut,,#NOME?,,"Nomencl. Bot.  [Steudel], ed. 2.",,,unknown,0.602083333,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499413-1,,J.B.Gillett,Indigofera graniticola,Leguminosae,,Indigofera,,graniticola,,false,false,spec.,Kew Bull. 24(1): 47. 1970 [2 Mar 1970],1970,J.B.Gillett,urn:lsid:ipni.org:publications:987-2,J.B.Gillett@3153-1@1@aut,,Tanzania. Illus,,Kew Bull.,,,unknown,24(1): 47,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 [2 Mar 1970],[2 Mar 1970],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499417-1,,Desv.,Indigofera grisea,Leguminosae,,Indigofera,,grisea,,false,false,spec.,Ann. Sci. Nat. (Paris) 9: 410. 1826,1826,Desv.,urn:lsid:ipni.org:publications:842-2,Desv.@17974-1@1@aut,,#NOME?,,Ann. Sci. Nat. (Paris),,,unknown,0.659722222,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499418-1,,Baker,Indigofera grisea,Leguminosae,,Indigofera,,grisea,,false,false,spec.,Fl. Trop. Afr. [Oliver et al.] 2: 80. 1871,1871,Baker,urn:lsid:ipni.org:publications:951-2,Baker@407-1@1@aut,,Afr. trop,,Fl. Trop. Afr. [Oliver et al.],,,unknown,0.138888889,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499419-1,,Harms,Indigofera griseoides,Leguminosae,,Indigofera,,griseoides,,false,false,spec.,Kunene-Sambesi-Exped. [Warburg] 257. 1903 [May 1903],1903,Harms,urn:lsid:ipni.org:publications:6670-2,Harms@3667-1@1@aut,,Afr. trop,,Kunene-Sambesi-Exped. [Warburg],,,unknown,257,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903 [May 1903],[May 1903],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499420-1,,Fourc.,Indigofera grisophylla,Leguminosae,,Indigofera,,grisophylla,,false,false,spec.,Trans. Roy. Soc. South Africa 21: 93. 1932,1932,Fourc.,urn:lsid:ipni.org:publications:820-2,Fourc.@0-0@1@aut,,Afr. austr. (Cape Prov.),,Trans. Roy. Soc. South Africa,,,unknown,0.939583333,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499422-1,,Lunan,Indigofera guatimala,Leguminosae,,Indigofera,,guatimala,,false,false,spec.,Hort. Jamaic. i. 420. 1814,1814,Lunan,,Lunan@5833-1@1@aut,,#NOME?,,Hort. Jamaic.,,,unknown,i. 420,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499425-1,,Schumach. & Thonn.,Indigofera guineensis,Leguminosae,,Indigofera,,guineensis,,false,false,spec.,Beskr. Guin. Pl. 367. 1827,1827,Schumach. & Thonn.,urn:lsid:ipni.org:publications:854-2,"Thonn.@10624-1@2@aut, Schumach.@26378-1@1@aut",,#NOME?,,Beskr. Guin. Pl.,,,unknown,367,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499426-1,,Bolus,Indigofera guthriei,Leguminosae,,Indigofera,,guthriei,,false,false,spec.,J. Bot. 34: 22. 1896,1896,Bolus,urn:lsid:ipni.org:publications:678-2,Bolus@938-1@1@aut,,Afr. austr,8967369,J. Bot.,,,unknown,34:22:00,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,,,,,,,,,,,false,true,,,,
